                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37561,                0.91085,                      1,                0.41856,                0.00333,                0.00333,                0.00333
                      2,                0.28379,                0.92291,                      1,                0.38924,              0.0065314,              0.0065314,              0.0065314
                      3,                0.25914,                0.91688,                      1,                0.39731,              0.0096008,              0.0096008,              0.0096008
                      4,                0.26587,                0.92248,                      1,                0.40029,               0.009406,               0.009406,               0.009406
                      5,                0.24033,                0.92894,                      1,                0.39037,               0.009406,               0.009406,               0.009406
                      6,                0.23599,                0.93368,                      1,                0.39189,               0.009208,               0.009208,               0.009208
                      7,                 0.2198,                0.93497,                      1,                0.38189,                0.00901,                0.00901,                0.00901
                      8,                0.20627,                0.93239,                      1,                0.38522,               0.008812,               0.008812,               0.008812
                      9,                0.20369,                0.93842,                      1,                 0.3812,               0.008614,               0.008614,               0.008614
                     10,                0.19807,                0.93798,                      1,                0.38096,               0.008416,               0.008416,               0.008416
                     11,                0.19566,                0.92808,                      1,                0.39284,               0.008218,               0.008218,               0.008218
                     12,                0.19077,                0.93454,                      1,                0.38266,                0.00802,                0.00802,                0.00802
                     13,                0.19408,                0.93583,                      1,                0.38125,               0.007822,               0.007822,               0.007822
                     14,                 0.1927,                0.94315,                      1,                0.37076,               0.007624,               0.007624,               0.007624
                     15,                0.18498,                0.94229,                      1,                0.37682,               0.007426,               0.007426,               0.007426
                     16,                0.18665,                0.94143,                      1,                0.38062,               0.007228,               0.007228,               0.007228
                     17,                0.18654,                0.94488,                      1,                0.37746,                0.00703,                0.00703,                0.00703
                     18,                0.18663,                0.94358,                      1,                0.37927,               0.006832,               0.006832,               0.006832
                     19,                0.18226,                0.93971,                      1,                0.38126,               0.006634,               0.006634,               0.006634
                     20,                0.18181,                0.93885,                      1,                0.37954,               0.006436,               0.006436,               0.006436
                     21,                0.17362,                0.93885,                      1,                0.37465,               0.006238,               0.006238,               0.006238
                     22,                0.18005,                0.94574,                      1,                0.37511,                0.00604,                0.00604,                0.00604
                     23,                0.17212,                  0.941,                      1,                0.37812,               0.005842,               0.005842,               0.005842
                     24,                0.17359,                0.93971,                      1,                 0.3776,               0.005644,               0.005644,               0.005644
                     25,                0.16716,                0.94444,                      1,                0.37199,               0.005446,               0.005446,               0.005446
                     26,                0.16486,                0.94229,                      1,                0.37622,               0.005248,               0.005248,               0.005248
                     27,                0.16948,                0.94014,                      1,                 0.3753,                0.00505,                0.00505,                0.00505
                     28,                0.16331,                0.94229,                      1,                0.37527,               0.004852,               0.004852,               0.004852
                     29,                0.15942,                0.94143,                      1,                0.37516,               0.004654,               0.004654,               0.004654
                     30,                0.16485,                0.94401,                      1,                0.37255,               0.004456,               0.004456,               0.004456
                     31,                0.16343,                0.93928,                      1,                 0.3737,               0.004258,               0.004258,               0.004258
                     32,                0.15592,                0.94186,                      1,                0.37447,                0.00406,                0.00406,                0.00406
                     33,                0.15832,                0.94315,                      1,                0.37586,               0.003862,               0.003862,               0.003862
                     34,                0.15491,                0.94401,                      1,                0.37372,               0.003664,               0.003664,               0.003664
                     35,                0.14594,                0.94358,                      1,                0.37317,               0.003466,               0.003466,               0.003466
                     36,                0.14697,                0.94401,                      1,                0.37278,               0.003268,               0.003268,               0.003268
                     37,                 0.1444,                0.94531,                      1,                0.37287,                0.00307,                0.00307,                0.00307
                     38,                0.14451,                0.94444,                      1,                0.37099,               0.002872,               0.002872,               0.002872
                     39,                0.14094,                0.94488,                      1,                0.37265,               0.002674,               0.002674,               0.002674
                     40,                0.14103,                0.94272,                      1,                0.37268,               0.002476,               0.002476,               0.002476
                     41,                0.13825,                0.94014,                      1,                0.37283,               0.002278,               0.002278,               0.002278
