                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46114,                  1.095,                0.56702,                 1.0287,                0.66515,                0.33161,                0.46874,                0.30389,                0.66678,                0.33242,                0.46802,                0.32315,                 1.9242,                0.87545,                 2.7213,                 2.2077,             0.00066364,             0.00066364,             0.00066364
                      2,                0.44139,                0.72223,                0.39281,                  1.003,                 0.9055,                0.82308,                0.93598,                0.86216,                0.90282,                0.82065,                0.93344,                0.86268,                0.35964,                0.58652,                0.93267,                0.64718,              0.0013171,              0.0013171,              0.0013171
                      3,                0.43643,                0.69964,                0.37165,                0.99347,                0.97456,                0.97407,                0.99073,                0.94823,                0.97537,                0.97488,                0.99124,                0.94107,                0.36887,                0.62441,                0.70992,                0.61071,              0.0019574,              0.0019574,              0.0019574
                      4,                0.41189,                0.69473,                0.34133,                0.98382,                0.99174,                0.97345,                0.98741,                0.94759,                0.99092,                0.97264,                0.98722,                0.94778,                0.30958,                0.51959,                0.65186,                  0.634,              0.0019406,              0.0019406,              0.0019406
                      5,                0.40028,                0.67359,                0.32149,                0.97992,                0.97448,                0.99008,                0.99125,                0.95189,                0.97835,                0.99028,                 0.9913,                0.92944,                0.30432,                0.58493,                0.65386,                0.59738,              0.0019406,              0.0019406,              0.0019406
                      6,                0.37934,                0.65134,                0.30305,                0.96819,                0.99098,                 0.9919,                0.99336,                0.94977,                0.99098,                 0.9919,                0.99336,                0.95415,                0.32422,                0.46439,                  0.614,                0.59504,              0.0019208,              0.0019208,              0.0019208
                      7,                0.37317,                0.64708,                  0.301,                0.96447,                0.99564,                0.99352,                0.99369,                0.97341,                0.99564,                0.99352,                0.99369,                 0.9594,                0.19905,                0.41774,                0.40246,                0.48113,               0.001901,               0.001901,               0.001901
                      8,                0.35931,                0.63792,                 0.2853,                0.96269,                0.99077,                0.99433,                 0.9948,                0.97465,                0.99157,                0.99514,                 0.9948,                0.95444,                0.31778,                0.54166,                  1.669,                0.57046,              0.0018812,              0.0018812,              0.0018812
                      9,                0.35629,                0.62012,                0.28004,                0.96203,                0.99347,                0.98624,                 0.9943,                0.95746,                0.99347,                0.98624,                 0.9943,                0.94205,                 0.2639,                0.42746,                0.66207,                0.56922,              0.0018614,              0.0018614,              0.0018614
                     10,                0.35032,                0.60265,                0.27379,                0.95516,                0.99824,                0.99838,                0.99451,                0.97047,                0.99824,                0.99838,                0.99451,                0.96392,                0.28386,                0.44337,                0.67156,                0.56912,              0.0018416,              0.0018416,              0.0018416
