2024-02-11 17:54:33,881 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Configure stats pid to 12184
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Loading settings from C:\Users\jinyo\.config\wandb\settings
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Loading settings from C:\Jinyoon Projects\0_Skin-Cancer-Detection-Capstone\_yolo_cascade\wandb\settings
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '_yolo_cascade\\_yolo_custom_run.py', 'program_abspath': 'C:\\Jinyoon Projects\\0_Skin-Cancer-Detection-Capstone\\_yolo_cascade\\_yolo_custom_run.py', 'program': 'C:\\Jinyoon Projects\\0_Skin-Cancer-Detection-Capstone\\_yolo_cascade\\_yolo_custom_run.py'}
2024-02-11 17:54:33,882 INFO    MainThread:12184 [wandb_init.py:_log_setup():526] Logging user logs to C:\Jinyoon Projects\0_Skin-Cancer-Detection-Capstone\_yolo_cascade\wandb\run-20240211_175433-m2yg5gxf\logs\debug.log
2024-02-11 17:54:33,883 INFO    MainThread:12184 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Jinyoon Projects\0_Skin-Cancer-Detection-Capstone\_yolo_cascade\wandb\run-20240211_175433-m2yg5gxf\logs\debug-internal.log
2024-02-11 17:54:33,883 INFO    MainThread:12184 [wandb_init.py:init():566] calling init triggers
2024-02-11 17:54:33,883 INFO    MainThread:12184 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
