                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.70119,                0.70098,                 1.1573,                0.82526,                0.84675,                0.88803,                0.79207,                0.47617,                0.47077,                0.98182,               0.006436,               0.006436,               0.006436
                     38,                 0.7067,                0.69674,                 1.1589,                0.82631,                0.84249,                0.88919,                0.79388,                0.47971,                0.46596,                0.98256,               0.006337,               0.006337,               0.006337
                     39,                0.69371,                0.69643,                 1.1548,                0.85113,                0.82699,                0.89036,                0.79296,                0.47909,                0.46628,                0.98497,               0.006238,               0.006238,               0.006238
                     40,                0.70291,                0.69408,                 1.1525,                0.84162,                0.83818,                0.89088,                0.79566,                0.47639,                0.46174,                0.97776,               0.006139,               0.006139,               0.006139
                     41,                 0.6941,                0.68768,                 1.1584,                0.85086,                0.83209,                0.89117,                0.79686,                0.47463,                0.45797,                0.97713,                0.00604,                0.00604,                0.00604
                     42,                0.69985,                0.68533,                 1.1485,                0.86287,                0.82498,                0.89283,                0.79909,                0.47348,                0.45615,                0.97172,               0.005941,               0.005941,               0.005941
                     43,                0.69311,                0.68397,                 1.1404,                0.86352,                0.83077,                0.89364,                0.79872,                0.47146,                0.45493,                0.96789,               0.005842,               0.005842,               0.005842
                     44,                0.69186,                0.67897,                 1.1525,                0.86682,                0.83039,                 0.8959,                0.80319,                0.46751,                 0.4487,                0.96965,               0.005743,               0.005743,               0.005743
                     45,                 0.6929,                0.67131,                 1.1474,                0.85542,                0.83939,                0.89671,                 0.8056,                0.46526,                0.44384,                0.96779,               0.005644,               0.005644,               0.005644
                     46,                0.68873,                0.66997,                 1.1462,                0.84919,                0.84689,                0.89871,                0.80751,                0.46779,                0.44062,                0.96953,               0.005545,               0.005545,               0.005545
                     47,                0.68186,                0.65609,                 1.1305,                0.86224,                0.84098,                0.90034,                0.80847,                 0.4677,                0.43821,                0.96625,               0.005446,               0.005446,               0.005446
                     48,                0.68549,                0.65969,                 1.1345,                  0.863,                0.83885,                0.90049,                0.80838,                0.46587,                0.43638,                0.96324,               0.005347,               0.005347,               0.005347
                     49,                0.68028,                0.65212,                 1.1294,                0.86084,                0.84156,                0.90043,                0.80785,                 0.4666,                0.43698,                0.96428,               0.005248,               0.005248,               0.005248
                     50,                0.68192,                0.64882,                 1.1405,                0.85538,                 0.8475,                 0.9018,                0.80905,                0.46737,                 0.4356,                0.96678,               0.005149,               0.005149,               0.005149
                     51,                0.67583,                0.64719,                 1.1347,                0.85699,                0.85026,                0.90349,                0.81051,                0.46692,                0.43207,                0.96838,                0.00505,                0.00505,                0.00505
                     52,                0.67198,                 0.6416,                 1.1281,                0.86179,                0.84584,                0.90366,                0.81097,                0.46689,                0.43028,                0.96857,               0.004951,               0.004951,               0.004951
                     53,                0.67167,                0.63877,                 1.1328,                0.86351,                0.84583,                0.90374,                0.81163,                0.46577,                0.42808,                0.96882,               0.004852,               0.004852,               0.004852
                     54,                0.66978,                 0.6264,                 1.1303,                0.86434,                0.84877,                0.90358,                0.81139,                 0.4658,                0.42851,                0.96895,               0.004753,               0.004753,               0.004753
                     55,                0.66496,                0.62723,                 1.1286,                0.86429,                0.84728,                0.90423,                0.81254,                0.46553,                 0.4272,                0.96845,               0.004654,               0.004654,               0.004654
                     56,                0.66831,                0.62435,                 1.1378,                0.86131,                0.85267,                0.90462,                0.81325,                0.46496,                0.42656,                0.96974,               0.004555,               0.004555,               0.004555
                     57,                0.66276,                0.61913,                   1.13,                0.86239,                0.85113,                0.90506,                0.81419,                0.46388,                0.42537,                0.96946,               0.004456,               0.004456,               0.004456
                     58,                0.66133,                 0.6131,                 1.1378,                0.86678,                0.84748,                 0.9055,                0.81518,                0.46276,                0.42438,                0.96917,               0.004357,               0.004357,               0.004357
                     59,                0.65974,                 0.6123,                  1.128,                 0.8669,                0.85098,                0.90638,                0.81578,                0.46222,                0.42258,                0.96898,               0.004258,               0.004258,               0.004258
                     60,                0.65937,                0.61371,                 1.1253,                0.86621,                0.85047,                0.90673,                0.81636,                0.46182,                0.42126,                0.96803,               0.004159,               0.004159,               0.004159
                     61,                 0.6563,                0.60563,                 1.1326,                0.86301,                0.85386,                0.90796,                0.81773,                0.46065,                0.42087,                0.96776,                0.00406,                0.00406,                0.00406
                     62,                0.65577,                0.59858,                 1.1287,                0.86199,                0.85482,                0.90799,                0.81861,                0.46038,                0.41951,                0.96761,               0.003961,               0.003961,               0.003961
                     63,                0.65569,                 0.5932,                 1.1176,                0.86451,                 0.8526,                0.90865,                0.81919,                 0.4596,                0.41902,                0.96702,               0.003862,               0.003862,               0.003862
                     64,                0.65702,                0.59363,                 1.1097,                0.86719,                0.85189,                0.90864,                0.81938,                0.45919,                0.41801,                 0.9658,               0.003763,               0.003763,               0.003763
                     65,                0.65047,                0.58554,                 1.1217,                0.87283,                0.84571,                0.90878,                0.81971,                0.45911,                0.41623,                0.96572,               0.003664,               0.003664,               0.003664
                     66,                0.65113,                0.58137,                 1.1196,                0.87596,                0.84458,                  0.909,                0.82046,                0.45841,                0.41586,                0.96526,               0.003565,               0.003565,               0.003565
                     67,                0.64924,                0.57736,                 1.1165,                0.87571,                0.84428,                 0.9095,                  0.821,                0.45795,                0.41528,                0.96506,               0.003466,               0.003466,               0.003466
                     68,                0.64683,                0.57251,                 1.1177,                0.87548,                0.84677,                0.91005,                0.82172,                0.45789,                0.41505,                0.96495,               0.003367,               0.003367,               0.003367
                     69,                0.64316,                0.57291,                 1.1184,                0.87515,                0.84647,                0.91086,                0.82219,                0.45793,                0.41398,                0.96536,               0.003268,               0.003268,               0.003268
                     70,                0.63856,                0.56636,                 1.1159,                0.87669,                0.84648,                0.91173,                0.82255,                0.45788,                0.41286,                 0.9655,               0.003169,               0.003169,               0.003169
                     71,                0.64285,                0.55785,                 1.1158,                0.87645,                0.84686,                0.91213,                0.82308,                0.45771,                0.41193,                0.96551,                0.00307,                0.00307,                0.00307
                     72,                  0.636,                0.54797,                 1.1069,                0.87441,                0.84827,                0.91243,                0.82352,                0.45767,                0.41118,                0.96567,               0.002971,               0.002971,               0.002971
                     73,                0.63635,                0.55116,                 1.1059,                0.87258,                 0.8492,                0.91282,                0.82396,                0.45748,                0.41044,                0.96547,               0.002872,               0.002872,               0.002872
                     74,                0.63135,                0.54359,                 1.1038,                0.87397,                0.84963,                0.91291,                0.82451,                0.45736,                0.40987,                0.96529,               0.002773,               0.002773,               0.002773
                     75,                 0.6371,                 0.5368,                 1.1113,                0.86778,                0.85496,                0.91334,                0.82551,                0.45731,                0.40932,                 0.9653,               0.002674,               0.002674,               0.002674
                     76,                0.63247,                0.53632,                 1.1091,                0.86732,                0.85447,                0.91372,                0.82601,                0.45726,                0.40828,                 0.9655,               0.002575,               0.002575,               0.002575
                     77,                0.63223,                0.53333,                 1.1031,                0.87405,                0.85196,                0.91391,                0.82653,                0.45738,                0.40763,                0.96562,               0.002476,               0.002476,               0.002476
                     78,                0.62974,                0.52583,                  1.102,                0.87162,                 0.8534,                0.91416,                0.82683,                0.45718,                 0.4068,                0.96544,               0.002377,               0.002377,               0.002377
                     79,                0.62888,                0.52057,                 1.1054,                0.87271,                0.85446,                0.91434,                0.82728,                0.45684,                0.40621,                0.96525,               0.002278,               0.002278,               0.002278
                     80,                0.62549,                0.52291,                 1.1047,                0.87444,                0.85307,                0.91468,                0.82751,                0.45653,                0.40522,                0.96516,               0.002179,               0.002179,               0.002179
                     81,                0.62076,                0.51636,                 1.0957,                0.87019,                0.85669,                0.91454,                0.82737,                0.45645,                0.40486,                0.96504,                0.00208,                0.00208,                0.00208
                     82,                0.62141,                   0.51,                 1.1021,                0.86795,                0.85854,                0.91515,                0.82828,                0.45631,                0.40448,                0.96501,               0.001981,               0.001981,               0.001981
                     83,                0.61745,                0.50547,                 1.0964,                0.86669,                0.85905,                0.91511,                0.82824,                0.45619,                0.40366,                0.96484,               0.001882,               0.001882,               0.001882
                     84,                0.61634,                0.49936,                 1.0935,                0.86927,                0.85576,                0.91541,                0.82846,                0.45605,                0.40372,                0.96477,               0.001783,               0.001783,               0.001783
                     85,                  0.611,                0.48992,                 1.0869,                0.87163,                0.85559,                 0.9155,                0.82885,                0.45601,                0.40304,                0.96461,               0.001684,               0.001684,               0.001684
                     86,                0.61253,                0.49197,                 1.0864,                0.87747,                0.85226,                 0.9154,                0.82907,                0.45579,                0.40243,                0.96425,               0.001585,               0.001585,               0.001585
                     87,                0.61162,                 0.4868,                 1.0828,                0.87923,                0.85213,                0.91597,                0.82968,                0.45548,                0.40222,                0.96371,               0.001486,               0.001486,               0.001486
                     88,                0.60449,                0.47943,                 1.0829,                0.87856,                0.85308,                0.91594,                0.83003,                0.45516,                0.40171,                0.96344,               0.001387,               0.001387,               0.001387
                     89,                0.60321,                0.47695,                 1.0838,                0.87967,                0.85251,                0.91617,                0.83006,                  0.455,                0.40135,                0.96331,               0.001288,               0.001288,               0.001288
                     90,                0.59685,                0.46327,                  1.077,                0.87745,                 0.8562,                0.91641,                0.83074,                0.45493,                0.40091,                0.96336,               0.001189,               0.001189,               0.001189
                     91,                 0.4106,                0.32027,                0.97153,                0.87869,                0.85394,                0.91667,                 0.8309,                0.45477,                0.40007,                0.96318,                0.00109,                0.00109,                0.00109
                     92,                0.40669,                 0.3038,                0.97432,                0.87979,                0.85367,                 0.9169,                0.83136,                0.45462,                0.39963,                 0.9632,               0.000991,               0.000991,               0.000991
                     93,                 0.4006,                0.28688,                0.96915,                0.87996,                0.85293,                0.91702,                0.83167,                0.45432,                 0.3993,                0.96299,               0.000892,               0.000892,               0.000892
                     94,                0.40152,                0.28622,                0.96544,                0.88411,                0.85256,                0.91702,                0.83237,                0.45429,                0.39966,                0.96336,               0.000793,               0.000793,               0.000793
                     95,                0.39783,                0.28022,                0.96539,                0.88319,                0.85351,                0.91744,                0.83254,                0.45432,                0.39894,                0.96332,               0.000694,               0.000694,               0.000694
                     96,                 0.3921,                0.27059,                0.96096,                0.88481,                0.85266,                0.91767,                0.83281,                0.45413,                0.39942,                0.96297,               0.000595,               0.000595,               0.000595
                     97,                  0.389,                0.25743,                0.95701,                0.88568,                0.85253,                0.91765,                0.83296,                0.45404,                0.39924,                0.96296,               0.000496,               0.000496,               0.000496
                     98,                0.38748,                0.25468,                0.95403,                0.88749,                0.85272,                0.91769,                0.83329,                0.45385,                0.39916,                0.96284,               0.000397,               0.000397,               0.000397
                     99,                0.38379,                0.24722,                0.94991,                0.88812,                0.85219,                0.91784,                0.83328,                0.45358,                0.39887,                0.96268,               0.000298,               0.000298,               0.000298
                    100,                0.38117,                0.23969,                0.94944,                  0.889,                0.85221,                0.91788,                0.83385,                0.45353,                0.39885,                0.96268,               0.000199,               0.000199,               0.000199
