                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.75882,                 1.2921,                0.90275,                 1.0863,                0.58366,                0.70378,                0.69513,                0.54224,                0.58247,                 0.7023,                0.69297,                0.51552,                0.56279,                0.99567,                0.62238,                 0.9265,               0.005446,               0.005446,               0.005446
                     26,                0.75059,                 1.2836,                0.88082,                 1.0817,                0.67078,                0.70579,                0.72717,                0.57014,                0.64712,                0.71647,                0.72528,                0.54049,                 0.5586,                0.99127,                0.60014,                0.91796,               0.005248,               0.005248,               0.005248
                     27,                0.74364,                 1.2743,                 0.8773,                 1.0821,                0.65737,                 0.6877,                0.70574,                0.56015,                0.65492,                0.68634,                0.70384,                0.52885,                0.54707,                0.99364,                0.57664,                0.90887,                0.00505,                0.00505,                0.00505
                     28,                0.74698,                 1.2831,                0.87322,                 1.0822,                0.67529,                0.68476,                0.73022,                0.57622,                0.67968,                0.68004,                0.73116,                0.54902,                0.55483,                0.99059,                0.57994,                0.92471,               0.004852,               0.004852,               0.004852
                     29,                 0.7361,                 1.2659,                 0.8676,                 1.0721,                0.67554,                0.74264,                0.73942,                0.58391,                0.67353,                0.74083,                0.73787,                0.55894,                0.53908,                0.98117,                0.57224,                0.90632,               0.004654,               0.004654,               0.004654
                     30,                0.73556,                 1.2611,                0.84457,                 1.0739,                0.68247,                0.73717,                0.74913,                0.59297,                0.68023,                 0.7354,                 0.7486,                0.56198,                 0.5455,                0.98042,                0.57935,                0.91735,               0.004456,               0.004456,               0.004456
                     31,                0.72777,                 1.2429,                0.83135,                 1.0728,                0.69382,                  0.695,                0.73999,                0.58447,                0.69438,                0.69577,                0.74067,                0.55283,                0.54014,                0.97662,                0.57065,                0.92047,               0.004258,               0.004258,               0.004258
                     32,                0.72451,                 1.2469,                0.83501,                 1.0698,                0.68212,                0.70797,                0.75336,                0.59155,                0.67759,                0.70605,                0.74821,                0.55984,                0.53802,                0.98122,                0.56376,                0.90961,                0.00406,                0.00406,                0.00406
                     33,                0.72619,                 1.2484,                0.82617,                 1.0711,                0.69308,                0.68681,                0.73807,                0.58084,                0.68841,                0.68375,                0.73495,                0.54753,                 0.5392,                 0.9741,                0.59224,                0.91175,               0.003862,               0.003862,               0.003862
                     34,                0.71944,                 1.2404,                0.80933,                 1.0671,                0.70686,                0.69915,                0.74627,                 0.5914,                0.70273,                0.69598,                0.74017,                0.55918,                0.53419,                0.97458,                0.56059,                0.91304,               0.003664,               0.003664,               0.003664
                     35,                 0.7122,                 1.2282,                0.79793,                 1.0648,                0.72429,                0.69145,                0.77045,                 0.6154,                0.72494,                0.69222,                0.77164,                0.58026,                0.52814,                0.97916,                0.54175,                0.90671,               0.003466,               0.003466,               0.003466
                     36,                0.71427,                 1.2293,                  0.796,                 1.0619,                0.71962,                0.74074,                 0.7691,                0.61345,                0.71773,                0.73893,                0.76678,                0.57934,                0.52957,                 0.9679,                0.55043,                 0.9074,               0.003268,               0.003268,               0.003268
                     37,                 0.6991,                 1.2193,                0.78099,                 1.0577,                 0.7146,                0.70682,                0.76054,                0.60832,                0.71846,                0.70759,                0.76101,                 0.5783,                0.53194,                0.96867,                0.54654,                0.91456,                0.00307,                0.00307,                0.00307
                     38,                0.70208,                 1.2063,                 0.7748,                 1.0562,                0.69018,                0.74088,                0.77116,                0.61454,                0.69083,                0.74165,                0.77303,                0.58072,                0.53018,                 0.9694,                0.55531,                0.90612,               0.002872,               0.002872,               0.002872
                     39,                0.69439,                 1.2043,                0.76117,                 1.0534,                0.69973,                0.73012,                0.75994,                0.60726,                0.69751,                0.72876,                0.75829,                0.57385,                0.52978,                0.97053,                0.55022,                0.90501,               0.002674,               0.002674,               0.002674
                     40,                0.69214,                 1.2034,                0.75024,                 1.0519,                0.69437,                0.74571,                0.77399,                0.62035,                0.69172,                0.75075,                 0.7723,                0.58952,                0.53155,                0.97085,                0.53565,                0.90915,               0.002476,               0.002476,               0.002476
                     41,                0.55234,                 1.0162,                0.57403,                0.98369,                0.65196,                0.76967,                0.77028,                0.61829,                0.64971,                0.76923,                0.76523,                0.58666,                0.53499,                0.96881,                0.53649,                0.91285,               0.002278,               0.002278,               0.002278
                     42,                0.54554,                      1,                0.55131,                0.97618,                0.74214,                0.67607,                  0.772,                0.61227,                0.74003,                0.67361,                0.76685,                0.58493,                0.53418,                0.96677,                0.53119,                0.91613,                0.00208,                0.00208,                0.00208
                     43,                0.53557,                0.98824,                0.53862,                0.97095,                0.72768,                 0.7073,                 0.7703,                0.61788,                0.72696,                0.70653,                0.76999,                  0.586,                0.53461,                0.97213,                0.52454,                0.91676,               0.001882,               0.001882,               0.001882
                     44,                0.53319,                0.98427,                0.51603,                 0.9633,                0.68836,                0.74747,                 0.7761,                0.62737,                 0.6861,                0.74625,                0.77188,                0.59443,                0.53427,                0.97168,                0.52384,                0.91388,               0.001684,               0.001684,               0.001684
                     45,                0.52416,                0.96824,                0.49331,                0.95674,                 0.6881,                0.76004,                0.77853,                0.62731,                 0.6881,                0.76004,                0.77847,                0.59838,                0.53372,                0.97098,                0.52358,                0.91076,               0.001486,               0.001486,               0.001486
                     46,                0.51918,                0.95625,                0.47425,                0.95819,                0.72483,                0.72914,                0.78299,                0.63007,                0.72549,                0.72992,                0.78447,                0.60299,                0.53222,                0.97254,                0.52434,                0.90786,               0.001288,               0.001288,               0.001288
                     47,                0.51325,                0.95243,                0.46132,                0.95377,                0.71833,                0.73718,                 0.7815,                0.63064,                0.71844,                 0.7373,                0.78177,                 0.6026,                0.53382,                0.97624,                0.52329,                0.90897,                0.00109,                0.00109,                0.00109
                     48,                0.50882,                0.94776,                0.44672,                0.95124,                0.70894,                0.75611,                0.77524,                0.62525,                0.70894,                0.75611,                 0.7756,                0.59931,                0.53348,                0.97687,                0.51944,                 0.9084,               0.000892,               0.000892,               0.000892
                     49,                0.50018,                0.94183,                 0.4249,                0.94893,                0.69061,                0.76578,                0.77771,                0.63034,                 0.6902,                0.76612,                0.77777,                0.60262,                0.53237,                0.97687,                0.52201,                0.90808,               0.000694,               0.000694,               0.000694
                     50,                0.49285,                0.93349,                0.42156,                 0.9432,                0.68118,                0.78321,                0.77566,                0.62665,                0.68071,                0.78256,                0.77551,                0.59956,                0.53479,                 0.9781,                0.52335,                0.90969,               0.000496,               0.000496,               0.000496
