                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.73225,                0.84061,                 1.0512,                0.68642,                0.60078,                0.65935,                0.55344,                0.54213,                 1.1425,                0.89107,                0.00307,                0.00307,                0.00307
                     38,                0.73131,                0.83066,                 1.0508,                0.68787,                0.60178,                0.66138,                0.55549,                0.54207,                 1.1369,                0.89057,               0.002872,               0.002872,               0.002872
                     39,                0.72664,                0.81824,                 1.0506,                0.68229,                 0.6182,                0.66842,                0.56231,                0.54107,                 1.1113,                 0.8897,               0.002674,               0.002674,               0.002674
                     40,                 0.7215,                0.80231,                 1.0496,                0.69559,                0.61511,                0.67224,                0.56709,                0.54062,                 1.0866,                0.88929,               0.002476,               0.002476,               0.002476
                     41,                0.72222,                0.80444,                 1.0475,                0.70503,                0.61158,                0.67684,                0.57154,                0.54013,                 1.0708,                0.88877,               0.002278,               0.002278,               0.002278
                     42,                0.71679,                0.79157,                 1.0449,                 0.6954,                0.62706,                0.67996,                0.57433,                0.53995,                 1.0572,                0.88873,                0.00208,                0.00208,                0.00208
                     43,                0.71281,                0.77425,                 1.0416,                0.69262,                 0.6303,                0.68219,                0.57533,                0.53985,                 1.0562,                0.88872,               0.001882,               0.001882,               0.001882
                     44,                0.70621,                0.76086,                 1.0377,                 0.7025,                0.63598,                0.68843,                 0.5809,                0.53908,                 1.0368,                0.88765,               0.001684,               0.001684,               0.001684
                     45,                0.70405,                0.74616,                 1.0348,                0.71082,                0.63762,                0.69498,                0.58662,                0.53864,                 1.0161,                0.88686,               0.001486,               0.001486,               0.001486
                     46,                0.69866,                0.73387,                 1.0324,                0.71084,                0.64353,                0.69961,                0.59021,                0.53846,                 1.0052,                0.88617,               0.001288,               0.001288,               0.001288
                     47,                0.69125,                0.71545,                  1.027,                0.72312,                0.63965,                0.70203,                0.59242,                0.53866,                 1.0065,                0.88603,                0.00109,                0.00109,                0.00109
                     48,                 0.6879,                0.70469,                 1.0271,                0.71965,                0.64467,                0.70703,                 0.5944,                0.53859,                0.99978,                0.88558,               0.000892,               0.000892,               0.000892
                     49,                0.68262,                0.68917,                 1.0231,                 0.7349,                0.64119,                0.71239,                0.59847,                0.53786,                0.98321,                0.88452,               0.000694,               0.000694,               0.000694
                     50,                0.67766,                0.67665,                 1.0204,                0.73697,                0.65291,                0.71531,                0.60017,                0.53773,                0.97247,                0.88411,               0.000496,               0.000496,               0.000496
