                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7375,                0.80073,                 1.0729,                0.79086,                0.82876,                0.86389,                0.75357,                0.52716,                0.54224,                0.96985,               0.006634,               0.006634,               0.006634
                     37,                0.73405,                0.79381,                 1.0734,                0.80368,                 0.8253,                0.86578,                0.75228,                0.53231,                0.53746,                0.97058,               0.006535,               0.006535,               0.006535
                     38,                0.73739,                0.78945,                 1.0724,                0.81772,                0.82075,                 0.8671,                0.75628,                0.52288,                0.52876,                0.96582,               0.006436,               0.006436,               0.006436
                     39,                0.72726,                0.78016,                 1.0661,                0.81888,                0.81623,                0.86648,                0.75805,                0.52146,                0.53283,                0.96694,               0.006337,               0.006337,               0.006337
                     40,                0.73032,                0.78161,                 1.0707,                0.82094,                0.81587,                0.86738,                 0.7578,                 0.5205,                0.53022,                 0.9652,               0.006238,               0.006238,               0.006238
                     41,                0.72684,                 0.7795,                 1.0663,                 0.8279,                0.81253,                0.86826,                 0.7597,                0.51656,                0.52762,                0.96139,               0.006139,               0.006139,               0.006139
                     42,                0.72875,                 0.7797,                 1.0672,                0.82155,                0.82078,                0.86975,                0.75985,                0.52034,                0.52617,                0.96348,                0.00604,                0.00604,                0.00604
                     43,                0.72816,                0.77898,                 1.0689,                0.80044,                0.83141,                0.86965,                0.76043,                0.51748,                0.52779,                0.96122,               0.005941,               0.005941,               0.005941
                     44,                0.72619,                0.77171,                 1.0679,                0.81633,                0.82194,                0.87031,                0.76277,                0.51429,                0.52096,                0.96046,               0.005842,               0.005842,               0.005842
                     45,                0.72528,                0.76587,                 1.0672,                 0.8184,                0.82598,                0.87122,                0.76397,                0.51213,                0.51859,                0.96024,               0.005743,               0.005743,               0.005743
                     46,                0.72167,                0.76732,                 1.0655,                0.81219,                0.82902,                0.87219,                0.76415,                0.51078,                0.51762,                0.95973,               0.005644,               0.005644,               0.005644
                     47,                0.71282,                 0.7579,                 1.0615,                0.80524,                0.83562,                0.87272,                0.76652,                0.50961,                0.51556,                0.95787,               0.005545,               0.005545,               0.005545
                     48,                0.71556,                0.75481,                 1.0603,                0.81806,                 0.8278,                0.87323,                0.76795,                0.50953,                0.51466,                0.95756,               0.005446,               0.005446,               0.005446
                     49,                0.71142,                0.74736,                 1.0574,                0.81306,                0.83122,                0.87394,                0.76683,                0.51027,                0.51362,                0.95777,               0.005347,               0.005347,               0.005347
                     50,                0.70987,                0.74739,                 1.0581,                 0.8198,                0.83026,                0.87567,                0.76848,                0.51101,                0.51228,                0.95751,               0.005248,               0.005248,               0.005248
                     51,                0.70826,                0.74387,                 1.0584,                0.82171,                0.82466,                0.87585,                0.76959,                0.51187,                 0.5117,                0.95683,               0.005149,               0.005149,               0.005149
                     52,                0.70261,                0.73668,                 1.0545,                0.81149,                0.84072,                0.87658,                0.76996,                0.51047,                0.51078,                0.95624,                0.00505,                0.00505,                0.00505
                     53,                0.70311,                 0.7337,                 1.0556,                0.81186,                0.84064,                0.87685,                0.77114,                0.50915,                0.50833,                0.95522,               0.004951,               0.004951,               0.004951
                     54,                0.69975,                0.72911,                 1.0527,                0.81291,                 0.8383,                 0.8771,                0.77193,                0.50786,                0.50629,                0.95411,               0.004852,               0.004852,               0.004852
                     55,                0.69458,                0.72687,                 1.0554,                0.81509,                0.83819,                0.87832,                0.77357,                0.50681,                0.50421,                0.95298,               0.004753,               0.004753,               0.004753
                     56,                0.69844,                0.72372,                 1.0514,                0.82258,                0.83368,                0.87963,                0.77437,                0.50575,                0.50262,                0.95226,               0.004654,               0.004654,               0.004654
                     57,                0.69408,                0.72023,                 1.0508,                0.82634,                0.83007,                0.88035,                0.77574,                 0.5048,                0.50109,                0.95239,               0.004555,               0.004555,               0.004555
                     58,                0.69326,                0.71686,                 1.0503,                0.82971,                0.82926,                 0.8805,                0.77584,                0.50358,                 0.5002,                0.95177,               0.004456,               0.004456,               0.004456
                     59,                0.69342,                0.71754,                 1.0538,                0.83213,                 0.8301,                0.88106,                0.77655,                0.50406,                0.49976,                0.95195,               0.004357,               0.004357,               0.004357
                     60,                0.69061,                0.71656,                 1.0498,                0.83447,                 0.8286,                0.88086,                0.77665,                0.50357,                0.49895,                 0.9516,               0.004258,               0.004258,               0.004258
                     61,                0.68719,                0.70928,                 1.0488,                0.82295,                0.83893,                0.88102,                 0.7772,                0.50268,                0.49853,                0.95098,               0.004159,               0.004159,               0.004159
                     62,                0.68761,                0.70339,                  1.049,                0.82451,                0.83992,                0.88176,                0.77733,                0.50253,                0.49762,                 0.9506,                0.00406,                0.00406,                0.00406
                     63,                0.68747,                0.70559,                 1.0474,                0.82532,                0.83924,                0.88177,                0.77765,                0.50253,                0.49693,                0.95016,               0.003961,               0.003961,               0.003961
                     64,                0.69169,                0.70828,                 1.0502,                0.82643,                0.83823,                0.88192,                0.77743,                0.50202,                0.49582,                0.94954,               0.003862,               0.003862,               0.003862
                     65,                 0.6833,                0.69701,                 1.0484,                0.82614,                0.83905,                0.88217,                0.77842,                 0.5014,                0.49468,                0.94874,               0.003763,               0.003763,               0.003763
                     66,                0.68399,                0.69269,                  1.047,                0.82982,                0.83651,                0.88229,                0.77933,                 0.5001,                0.49424,                0.94827,               0.003664,               0.003664,               0.003664
